HDI rank,Country,Gender Development Index,Human Development Index Female,Mean Years of Schooling Female,Gender Inequality Index
1,Iceland,0.983,0.959,14,0.024
2,Norway,0.995,0.967,13.3,0.004
2,Switzerland,0.977,0.954,13.6,0.01
4,Denmark,0.99,0.953,13.2,0.003
5,Germany,0.975,0.946,14,0.057
5,Sweden,0.988,0.95,12.9,0.007
7,Australia,0.977,0.946,12.9,0.056
8,Netherlands,0.971,0.938,12.5,0.013
10,Belgium,0.979,0.94,12.7,0.031
11,Ireland,1.001,0.95,11.9,0.054
12,Finland,0.992,0.943,13.2,0.021
13,Singapore,0.994,0.944,11.7,0.031
13,United Kingdom,0.979,0.933,13.6,0.083
15,United Arab Emirates,0.957,0.908,12.8,0.04
16,Canada,0.991,0.934,13.9,0.052
17,New Zealand,0.973,0.925,12.9,0.082
17,United States,1.009,0.938,14,0.169
20,Korea (Republic of),0.959,0.915,12.1,0.038
21,Slovenia,0.997,0.927,13,0.042
22,Austria,0.985,0.921,12.1,0.033
23,Japan,0.97,0.909,12.4,0.059
24,Malta,0.977,0.911,12.2,0.111
25,Luxembourg,0.996,0.919,12.8,0.044
26,France,0.993,0.916,11.6,0.034
27,Israel,0.994,0.915,13.6,0.08
28,Spain,0.989,0.91,10.7,0.043
29,Czechia,0.987,0.908,12.8,0.088
29,Italy,0.975,0.901,10.7,0.043
32,Cyprus,0.996,0.911,12.6,0.252
34,Greece,0.963,0.889,11.2,0.103
35,Poland,1.012,0.91,13.4,0.081
36,Estonia,1.023,0.913,13.7,0.061
37,Saudi Arabia,0.931,0.855,11,0.228
38,Bahrain,0.957,0.87,12.1,0.165
39,Lithuania,1.022,0.903,13.7,0.07
40,Portugal,1,0.89,9.7,0.076
41,Croatia,0.999,0.888,11.9,0.074
41,Latvia,1.026,0.899,13.7,0.117
43,Qatar,1.036,0.909,12.7,0.195
44,Slovakia,0.999,0.879,13.1,0.176
45,Chile,0.967,0.862,11.2,0.102
46,Hungary,0.989,0.864,12.2,0.213
47,Argentina,0.988,0.853,11.5,0.264
48,Montenegro,0.984,0.855,12.2,0.121
48,Uruguay,1.017,0.863,10.8,0.218
50,Oman,0.945,0.822,12.3,0.222
51,Türkiye,0.938,0.822,8.3,0.227
52,Kuwait,1.011,0.849,8.4,0.188
53,Antigua and Barbuda,1.031,0.862,12.2,0.24
55,Bulgaria,1,0.844,11.6,0.208
55,Romania,0.986,0.837,11.3,0.227
57,Georgia,1.009,0.846,12.8,0.257
59,Panama,1.014,0.844,11.1,0.374
60,Brunei Darussalam,0.993,0.829,9.3,0.257
60,Kazakhstan,1.004,0.837,12.6,0.182
62,Costa Rica,0.975,0.818,8.9,0.217
62,Serbia,0.987,0.827,11.4,0.117
64,Russian Federation,1.023,0.84,12.5,0.169
65,Belarus,1.009,0.826,12.4,0.08
66,Bahamas,1.015,0.826,12.9,0.325
67,Malaysia,0.973,0.805,11,0.172
68,North Macedonia,0.955,0.794,9.6,0.112
69,Armenia,1.006,0.812,11.4,0.18
69,Barbados,1.035,0.819,10.4,0.297
71,Albania,0.963,0.794,9.9,0.107
72,Trinidad and Tobago,0.99,0.801,10.9,0.262
73,Mauritius,0.971,0.79,10,0.352
74,Bosnia and Herzegovina,0.967,0.789,10.3,0.157
75,Iran (Islamic Republic of),0.875,0.724,10.9,0.482
76,Thailand,1.008,0.802,8.9,0.288
78,China,0.976,0.786,7.8,0.132
79,Peru,0.959,0.777,9.6,0.34
80,Grenada,0.984,0.783,9.3,0.226
81,Azerbaijan,0.983,0.781,11,0.315
81,Mexico,0.976,0.777,9.2,0.358
83,Colombia,0.992,0.784,9.2,0.393
84,Brazil,1.002,0.785,8.6,0.39
86,Moldova (Republic of),1.029,0.795,11.9,0.146
88,Ecuador,0.998,0.776,8.9,0.358
89,Dominican Republic,1.024,0.783,9.9,0.417
89,Guyana,0.992,0.771,8.8,0.427
89,Sri Lanka,0.951,0.75,10.7,0.367
92,Tonga,0.998,0.763,11,0.444
93,Maldives,0.986,0.755,7.4,0.309
93,Viet Nam,0.997,0.765,8.5,0.299
96,Algeria,0.887,0.702,6.9,0.443
97,Cuba,0.975,0.75,10.7,0.296
99,Paraguay,0.988,0.75,8.9,0.412
100,Egypt,0.895,0.695,10.7,0.398
100,Jordan,0.861,0.677,9.7,0.433
102,Lebanon,0.992,0.749,13.1,0.36
103,Saint Lucia,1.016,0.754,8.9,0.327
104,Mongolia,1.03,0.757,9.9,0.284
105,Tunisia,0.931,0.712,7,0.238
106,South Africa,0.996,0.738,11.5,0.388
107,Uzbekistan,0.951,0.718,11.8,0.291
108,Bolivia (Plurinational State of),0.961,0.718,9.4,0.419
108,Gabon,0.994,0.728,10.5,0.505
111,Botswana,0.997,0.73,10.4,0.49
111,Fiji,0.948,0.706,10.4,0.35
113,Indonesia,0.945,0.704,8.4,0.423
114,Suriname,0.993,0.717,8.6,0.391
115,Belize,0.981,0.713,8.8,0.428
115,Libya,0.955,0.7,8.4,0.253
117,Jamaica,1.013,0.723,10.2,0.358
117,Kyrgyzstan,0.959,0.701,12,0.34
117,Philippines,0.984,0.709,10.2,0.351
120,Morocco,0.859,0.642,5.3,0.438
121,Venezuela (Bolivarian Republic of),0.993,0.699,10,0.512
122,Samoa,0.955,0.687,11.8,0.416
123,Nicaragua,0.952,0.685,9.9,0.408
125,Bhutan,0.958,0.681,5.2,0.278
126,Eswatini (Kingdom of),0.964,0.682,8.5,0.484
126,Iraq,0.793,0.592,5.6,0.558
