Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,World,WLD,2023,197,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Afghanistan,AFG,2023,521,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Albania,ALB,2023,7,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Algeria,DZA,2023,62,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Andorra,AND,2023,11,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Angola,AGO,2023,183,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Antigua and Barbuda,ATG,2023,35,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Argentina,ARG,2023,33,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Armenia,ARM,2023,19,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Australia,AUS,2023,2,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Austria,AUT,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Azerbaijan,AZE,2023,18,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Bahamas, The",BHS,2023,76,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bahrain,BHR,2023,17,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bangladesh,BGD,2023,115,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Barbados,BRB,2023,35,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Belarus,BLR,2023,1,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Belgium,BEL,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Belize,BLZ,2023,67,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Benin,BEN,2023,518,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bhutan,BTN,2023,47,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bolivia,BOL,2023,146,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bosnia and Herzegovina,BIH,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Botswana,BWA,2023,155,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Brazil,BRA,2023,67,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Brunei Darussalam,BRN,2023,36,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Bulgaria,BGR,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Burkina Faso,BFA,2023,242,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Burundi,BDI,2023,392,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cabo Verde,CPV,2023,40,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cambodia,KHM,2023,137,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cameroon,CMR,2023,258,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Canada,CAN,2023,12,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Central African Republic,CAF,2023,692,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Chad,TCD,2023,748,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Chile,CHL,2023,10,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,China,CHN,2023,16,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Colombia,COL,2023,59,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Comoros,COM,2023,179,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Congo, Dem. Rep.",COD,2023,427,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Congo, Rep.",COG,2023,241,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Costa Rica,CRI,2023,24,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cote d'Ivoire,CIV,2023,359,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Croatia,HRV,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cuba,CUB,2023,35,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Cyprus,CYP,2023,14,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Czechia,CZE,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Denmark,DNK,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Djibouti,DJI,2023,162,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Dominica,DMA,2023,36,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Dominican Republic,DOM,2023,124,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ecuador,ECU,2023,55,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Egypt, Arab Rep.",EGY,2023,17,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,El Salvador,SLV,2023,39,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Equatorial Guinea,GNQ,2023,174,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Eritrea,ERI,2023,291,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Estonia,EST,2023,5,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Eswatini,SWZ,2023,118,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ethiopia,ETH,2023,195,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Fiji,FJI,2023,30,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Finland,FIN,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,France,FRA,2023,7,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Gabon,GAB,2023,233,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Gambia, The",GMB,2023,354,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Georgia,GEO,2023,20,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Germany,DEU,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ghana,GHA,2023,234,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Greece,GRC,2023,5,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Grenada,GRD,2023,48,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Guatemala,GTM,2023,94,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Guinea,GIN,2023,494,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Guinea-Bissau,GNB,2023,505,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Guyana,GUY,2023,75,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Haiti,HTI,2023,328,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Honduras,HND,2023,47,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Hungary,HUN,2023,12,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Iceland,ISL,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,India,IND,2023,80,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Indonesia,IDN,2023,140,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Iran, Islamic Rep.",IRN,2023,16,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Iraq,IRQ,2023,66,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ireland,IRL,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Israel,ISR,2023,2,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Italy,ITA,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Jamaica,JAM,2023,130,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Japan,JPN,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Jordan,JOR,2023,31,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kazakhstan,KAZ,2023,10,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kenya,KEN,2023,149,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kiribati,KIR,2023,80,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Korea, Dem. People's Rep.",PRK,2023,67,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Korea, Rep.",KOR,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kuwait,KWT,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kyrgyz Republic,KGZ,2023,42,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Lao PDR,LAO,2023,112,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latvia,LVA,2023,19,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Lebanon,LBN,2023,15,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Lesotho,LSO,2023,478,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Liberia,LBR,2023,628,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Libya,LBY,2023,59,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Lithuania,LTU,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Luxembourg,LUX,2023,11,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Madagascar,MDG,2023,445,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Malawi,MWI,2023,225,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Malaysia,MYS,2023,26,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Maldives,MDV,2023,32,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mali,MLI,2023,367,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Malta,MLT,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Marshall Islands,MHL,2023,155,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mauritania,MRT,2023,381,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mauritius,MUS,2023,66,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mexico,MEX,2023,42,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Micronesia, Fed. Sts.",FSM,2023,129,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Moldova,MDA,2023,19,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Monaco,MCO,2023,5,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mongolia,MNG,2023,41,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Montenegro,MNE,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Morocco,MAR,2023,70,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Mozambique,MOZ,2023,99,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Myanmar,MMR,2023,185,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Namibia,NAM,2023,139,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Nauru,NRU,2023,273,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Nepal,NPL,2023,142,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Netherlands,NLD,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,New Zealand,NZL,2023,7,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Nicaragua,NIC,2023,60,"female, Modeled"
